id,trigger,conditions,script,text,options,notes
#RULESET_NAME UAF,,,,,,
,,,,,,
# UAF Fleet Greeting Lines,,,,,,
greetingUAFFriendly,OpenCommLink,"$faction.id == uaf
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""UAF-type DNS Code received and confirmed over secured channel, greetings $playerName - I bid you good luck and fair sea.""",,
greetingUAFHostileWeaker,OpenCommLink,"$faction.id == uaf
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"""Send out the signal and call for reinforcement! We may not be enough to bring you down, but the next one will. For the Queen!""",cutCommLink:Cut the comm link,
greetingUAFHostileWeakerDefiant,OpenCommLink,"$faction.id == uaf
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$entity.ignorePlayerCommRequests = true 1,"""The Aurorian Navy does not surrender that easily, we will fight you to the very end. For the brighter future that the Queen promised to all of us!""",cutCommLink:Cut the comm link,
greetingUAFHostileStronger,OpenCommLink,"$faction.id == uaf
$entity.isHostile
$entity.relativeStrength >= 0",$entity.ignorePlayerCommRequests = true 1,"""Attention, hostile fleet - you are outnumbered and cannot win this fight. Surrender immediately or face the might of the Aurorian Navy.""",cutCommLink:Cut the comm link,
greetingUAFNeutral,OpenCommLink,"$faction.id == uaf
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Domain-type AIS Code confirmed, this is $personRank $personName of the Aurorian Federation - state your intentions and send over transmission, over.""",,
,,,,,,
flavorTextMarketAvroria,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$id == uaf_new_auroria score:1000","AddText""They say that this world is reminiscent of a homeworld called 'Aurora' which lies beyond the Sector or even the universe itself. An Earth-like world where these Aurorian people came from. The Aurorians have made themselves clear, they're here to stay and make themselves at home as tall, sleek skyscrapers were built in designated residential zones surrounded by pristine yet relatively untouched natural earthly landscape. It also gives you an impression that they're not here to invade and conquer due to the lack of obvious military infrastructure and instead, open for trading and other peaceful intentions. Promoters and other sorts of entrepeneurs came to greet you as they guide you to the nearby trade zones not far from the spaceport."" textGrayColor",,,
flavorTextMarketLunamun,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$id == uaf_lunamun score:1000","AddText""The moon serves as the guardian angel of the New Avroria. There are all sorts of spaceships flying by and military structures can be seen around you as they seems to be surrounding a single, massive naval staging base within a large crater. You think you noticed an oddly large ship parked far beyond the dark side of the moon but you might be fooled by your own eyes. Nevertheless, you have arrived at the designated trading post that provides amenities and comfort for people deciding to stay for a night or two; albeit with limited or no access to the surrounding region."" textGrayColor",,,
flavorTextMarketVermilionPort,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$id == uaf_station_vermilion score:1000","AddText""Port Vermillion is the UAF's government-approved trade-free zone. People of all sorts, regardless of their origins are allowed to stay here and try to make a living so long as nobody cause any problems for anyone. Half of the station's trading zone are dedicated for selling Aurorian goods, even those that came from beyond the 'Mirror Universe' as they say while the other are your usual good ol' Starsector material and goodies. There are even those exquisite black market stuff available if you look around hard enough."" textGrayColor",,,
flavorTextMarketEntiaris,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$id == uaf_ryoko score:1000","AddText""Not everything is bright and shine in the Aoi Ayama system obviously. Entiaris is a world dedicated for miners to reside in while mining volatiles at the neighboring gas giant. However, piracy and other sort of criminal oddities have infested this world and make themselves known due to far distance and remote nature. Stolen ships are being stripped apart and cannibalized as black market thrives in a place such as this."" textGraycolor",,,
,,,,,,
cmsn_meetsCriteria_uaf,DialogOptionSelected,"$option == cmsn_askCommission
$faction.id == uaf
Commission playerMeetsCriteria",FireAll CMSNAskNia,,"0:cutCommLinkPolite:""Thanks for the recommendation, $PersonRank""",
,,,,,,
UAFCMSNAskNia,CMSNAskNia,$faction.id == uaf,"$player.hasUAFRecommendation = true
UAFRecommendation SetRecommendation
AddTextSmall ""You received recommendation from $PersonRank $personLastName""","""Ah, I see - you're certainly qualified to participate in our program according to your most recent contribution and friendly actions towards our cause. I'm sure the Queen would be pleased to know there's a local Domain starship captain who wished to serve and assist her."" 

""If you are interested in having a UAF Commission, you can go to ""Aurora Diplomatic Bureau"" in Vermilion Station and issue the commission permit from there. You'll have my recommendation.""

",,
UAFCMSNAskNiaAlso,CMSNAskNia,"$faction.id == uaf
$market.id == uaf_eva_station_market",,"""One last thing, you might want to get a cake down in the station market as a gift to The Bureau's Admin, she would appreciate that.""",,
CMSNTextRejectHostile_uaf,CMSNTextRejectHostile,$faction.id == uaf,,"""You do realize that we are known for out vast Intelligence network right? And that there is no way we wouldn't be aware of your are against $TheFaction right?""",,
CMSNTextHasOther_uaf,CMSNTextHasOther,$faction.id == uaf,,"""Your file mention a current association with $theOtherCommissionFaction, and frankly there is no way we would ever work with someone that has such obvious ties to another authority.""",,
CMSNTextUnsuited_uaf,CMSNTextUnsuited,$faction.id == uaf,,"""While expanding our network of collaborators is of utmost importance to $TheFaction, we cannot allow individuals we do not fully trust in our ranks.""",,
CMSNTextSuitedPart1_uaf,CMSNTextSuitedPart1,$faction.id == uaf,,"""Ah, I see - you're certainly qualified to participate in our program according to your most recent contribution and friendly actions towards our cause. I'm sure the Queen would be pleased to know there's a local Domain starship captain who wished to serve and assist her."" ",,
CMSNTextSuitedPart2_uaf,CMSNTextSuitedPart2,$faction.id == uaf,,"""However, due to our 'out-of-this-sector' nature - the local politics and relations might change at anytime which will affect you as well. You will receive our standard monthly stipent and accessibility to our facilities throughout the sector.""",,
CMSNTextWelcomePart1_uaf,CMSNTextWelcomePart1,$faction.id == uaf,,"""Splendid! Welcome to the UAF and thank you for joining us. In return, you will be given access to our more military facilities and equipment stockpiles. Please help yourselves to our quartermasters for further enquiries."" ",,
CMSNTextWelcomePart2_uaf,CMSNTextWelcomePart2,$faction.id == uaf,,"""Ah hold on, I've received a message.. Aeria Charlotte wishes to send her personal gratitude to you and good luck in the Sector. Is there anything else I could help you with?""",,
CMSNTextChangeMind_uaf,CMSNTextChangeMind,$faction.id == uaf,,"""Understandable, this option would remain open for you. Should you ever return in foreseeable future - of course.""",,
CMSNResignAskToConfirm_uaf,CMSNResignAskToConfirm,$faction.id == uaf,,"""Are you sure, Captain $playerName? Not everyone have the privilege to come up this far. The Royal Navy won't take this lightly and your privilege access will be stripped and limited.""",,
CMSNResignConfirmed_uaf,CMSNResignConfirmed,$faction.id == uaf,,"""I see.. what a shame. Your resignation is confirmed. Good luck and fair seas.""",,
CMSNResignCancelled_uaf,CMSNResignCancelled,$faction.id == uaf,,"""I'm glad you've changed your mind. If you haven't given up on us. So will we.""",,
,,,,,,
,,,,,,
